拌,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.37,0,0,0,1106.29,1.9,0.05,3.16,1.32,3.18,2.51,84.47,5.42,324.05,0.36,0,0.02,0,0.2,0.01,5.37,0.09,155.88,-,-,0.13,0.52,5.91,0.43,70.01,15.09,3.12,1.15,0,0.48,159.95,1.78,0.23,0,9,0.87,0,3.94,1.27,0,0.3,0,0.05,0.08,2.45,0.07
0~9技,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,9068.77,7.77,0,2.27,2.93,4.24,13.62,3.93,26.47,1543.37,1.9,0,0,0,0.29,0.04,4.81,0,1537.44,-,-,0,0.04,0.29,0.08,0.25,1.2,0.12,0,0,0,13.59,0.21,0.02,0,0.14,0,0,0.54,0.02,0,0.1,0,0,0,0.02,0
10~19技,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,1287.28,4.02,0.04,2.62,0.6,4.02,2.24,18.81,9.9,973.3,0.31,0,0,0,0.35,0,0.48,0,42.91,-,-,0.03,0.03,1.32,0.03,1.28,4.87,0.13,0.01,0,0.04,12.22,0.37,0.06,0,0.92,0,0,2.16,0.06,0,0.1,0,0,0.01,0.07,0
20~29技,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,176.59,2.45,0.04,3.76,1.74,4.97,1.04,112.83,0.63,122.1,0.43,0,0.01,0,0.43,0,0.29,0.22,2.1,-,-,0.1,0.16,7.92,0.09,6.41,47.8,0.24,0.06,0,0.07,25.66,1.07,0.1,0,5.92,0,0,7.66,0.42,0,0.35,0,0,0.14,0.32,0.1
30~39技,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.31,0,0,0,102.32,1.28,0.07,2.6,0.85,1.8,0.78,195.32,0.9,63.42,0.32,0,0.06,0,0.05,0.01,1.13,0.04,4.47,-,-,0.14,0.13,7.17,0.07,16.15,10.99,0.39,0.14,0,0.14,35.29,0.87,0.11,0,3.33,0.07,0,7.01,1.1,0,0.33,0,0.02,0.11,0.26,0.14
40~49技,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,45.8,0.27,0.08,1.99,0.88,1.42,0.53,138.92,1.07,44.82,0.09,0,0.05,0,0.06,0.01,2.06,0.01,1.62,-,-,0.07,0.2,8.06,0.47,60.07,13.52,1.14,0.81,0,0.18,77.51,1.05,0.22,0,4.36,0.3,0,4.12,1.41,0,0.33,0,0.07,0.07,0.67,0.07
50~59技,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,22.97,0.06,0.03,4.43,1.37,2.5,1.18,45.16,1.36,33.08,0.04,0,0,0,0.12,0.03,5.89,0.04,0.78,-,-,0.18,0.69,8.41,1.21,142.62,14.81,3.52,3.27,0,0.65,251.11,2.68,0.57,0,11.54,1.25,0,3.59,2.46,0.01,0.46,0,0.09,0.15,3.76,0.1
60~69技,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,21.27,0,0.1,4.61,1.19,3.62,1.75,17.84,3.11,21.36,0.02,0,0,0,0.24,0,14.2,0.22,1.36,-,-,0.36,1.53,5.7,0.87,188.57,11.31,8.96,3.57,0,1.6,509.9,4.47,0.49,0,22.26,3.35,0,1.67,3.5,0,0.29,0,0.27,0.05,7.87,0.02
70技 捞惑,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,20.68,0,0.03,4.29,2.02,5.07,3.23,19.76,9.45,16.27,0,0,0,0,0.12,0,32.94,0.46,1.44,-,-,0.32,3.05,5.67,1.15,301.95,7.92,22.84,3.51,0,2.74,838.6,7.29,0.52,0,48.15,5.24,0,0.26,2.19,0,0.37,0,0.03,0.03,15.58,0
